bookId,authorId,bookTitle,bookDescription,image
10,1,"The Great Adventure","An epic journey of self-discovery and exploration",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbHIA1s97tIcmDatUPsEXaB52lGC2U5KvCkg&s
1,4,"1984","A dystopian social science fiction novel and cautionary tale.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbHIA1s97tIcmDatUPsEXaB52lGC2U5KvCkg&s
2,2,"Pride and Prejudice","A romantic novel that charts the emotional development of the protagonist.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbHIA1s97tIcmDatUPsEXaB52lGC2U5KvCkg&s
3,1,"The Adventures of Huckleberry Finn","A novel about the adventures of a young boy and a runaway slave.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbHIA1s97tIcmDatUPsEXaB52lGC2U5KvCkg&s
4,3,"To Kill a Mockingbird","A novel about the serious issues of rape and racial inequality.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbHIA1s97tIcmDatUPsEXaB52lGC2U5KvCkg&s
5,5,"Harry Potter and the Sorcerer's Stone","A young wizard's journey begins.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbHIA1s97tIcmDatUPsEXaB52lGC2U5KvCkg&s
6,6,"The Old Man and the Sea","An epic struggle between an old fisherman and a giant marlin.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbHIA1s97tIcmDatUPsEXaB52lGC2U5KvCkg&s
7,7,"The Great Gatsby","A novel about the American dream and the roaring twenties.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbHIA1s97tIcmDatUPsEXaB52lGC2U5KvCkg&s
8,8,"A Tale of Two Cities","A historical novel set in London and Paris before and during the French Revolution.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbHIA1s97tIcmDatUPsEXaB52lGC2U5KvCkg&s
9,9,"War and Peace","A novel that chronicles the history of the French invasion of Russia.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbHIA1s97tIcmDatUPsEXaB52lGC2U5KvCkg&s
